gene,gene_id,immune_genetic_association,cardiac_genetic_association
AGL,ENSG00000162688,0.0,0.0
AGMAT,ENSG00000116771,0.0,0.4255515583281347
AGMO,ENSG00000187546,0.4090737667597574,0.6928726198424229
AGO1,ENSG00000092847,0.4437156024217936,0.0
AGO2,ENSG00000123908,0.5883660318288576,0.4147118553932128
AGO3,ENSG00000126070,0.0,0.0
AGO4,ENSG00000134698,0.0,0.0
AGPAT1,ENSG00000204310,0.0,0.0
AGPAT2,ENSG00000169692,0.2159096389277587,0.0
AGPAT3,ENSG00000160216,0.2735344786835508,0.0
AGPAT4,ENSG00000026652,0.6763026552394557,0.8422946537574109
AGPAT5,ENSG00000155189,0.3040490542937468,0.0433162962638322
AGPS,ENSG00000018510,0.0,0.0
AGR2,ENSG00000106541,0.055078851678178,0.1966682584342038
AGR3,ENSG00000173467,0.058714825786037,0.3704044798161073
AGRN,ENSG00000188157,0.0,0.0468776955124461
AGRP,ENSG00000159723,0.0,0.0
AGT,ENSG00000135744,0.0,0.8920584891793488
AGTPBP1,ENSG00000135049,0.4950733567714397,0.3823441523061989
AGTR1,ENSG00000144891,0.0,0.7628428351603089
AGTR2,ENSG00000180772,0.0,0.0
AGTRAP,ENSG00000177674,0.0,0.0
AGXT,ENSG00000172482,0.2431723190446484,0.4377101742803672
AGXT2,ENSG00000113492,0.0,0.1214837643426853
AHCTF1,ENSG00000153207,0.0,0.0520212517055737
AHCY,ENSG00000101444,0.0,0.0
AHCYL1,ENSG00000168710,0.0,0.0
AHCYL2,ENSG00000158467,0.0,0.2119685754417051
AHDC1,ENSG00000126705,0.0,0.0
AHI1,ENSG00000135541,0.6107357284919991,0.6800244053794444
AHNAK,ENSG00000124942,0.0,0.2100170582769043
AHNAK2,ENSG00000185567,0.5081438023120853,0.1945378552357187
AHR,ENSG00000106546,0.4165277342454715,0.4513685226996748
AHRR,ENSG00000063438,0.0,0.1598656630155736
AHSA1,ENSG00000100591,0.0,0.0
AHSG,ENSG00000145192,0.0,0.0
AHSP,ENSG00000169877,0.0549451104451966,0.0
AICDA,ENSG00000111732,0.9201912411310196,0.0
AIDA,ENSG00000186063,0.0386206783299242,0.6096114565183107
AIF1,ENSG00000204472,0.0,0.0
AIF1L,ENSG00000126878,0.0,0.0
AIFM1,ENSG00000156709,0.0,0.0
AIFM2,ENSG00000042286,0.0,0.0314427882855398
AIFM3,ENSG00000183773,0.0,0.0
AIG1,ENSG00000146416,0.2258090360015869,0.400949950850951
AIM2,ENSG00000163568,0.3943232253154074,0.0
AIMP1,ENSG00000164022,0.1431547896651437,0.062851343083173
AIMP2,ENSG00000106305,0.0,0.0
AIP,ENSG00000110711,0.0,0.1142625230528981
AIPL1,ENSG00000129221,0.0,0.0318083840903996
AIRE,ENSG00000160224,0.9447848587776518,0.1826278945263687
AJAP1,ENSG00000196581,0.3765713237901004,0.7026037538425646
AJM1,ENSG00000232434,0.0,0.0
AJUBA,ENSG00000129474,0.0,0.0
AK1,ENSG00000106992,0.3104898178569069,0.0
AK2,ENSG00000004455,0.8384703482054554,0.0
AK3,ENSG00000147853,0.0602923950515299,0.4210200844881199
AK4,ENSG00000162433,0.3176357771793612,0.0324486359206213
AK4P3,ENSG00000233381,0.0,0.0
AK5,ENSG00000154027,0.0,0.5947840783671073
