gene,condition,n_sig,group
TGFBR2,Stim8hr,0,other
TGFBR3,Rest,0,other
TGFBR3,Stim48hr,0,other
TGFBR3,Stim8hr,0,other
TGFBRAP1,Rest,0,other
TGFBRAP1,Stim48hr,0,other
TGFBRAP1,Stim8hr,0,other
TGIF1,Rest,0,other
TGIF1,Stim48hr,0,other
TGIF1,Stim8hr,0,other
TGIF2,Rest,0,other
TGIF2,Stim48hr,0,other
TGIF2,Stim8hr,0,other
TGIF2-RAB5IF,Rest,0,other
TGIF2-RAB5IF,Stim48hr,0,other
TGIF2-RAB5IF,Stim8hr,0,other
TGIF2LX,Rest,0,other
TGIF2LX,Stim8hr,0,other
TGIF2LY,Rest,0,other
TGIF2LY,Stim48hr,0,other
TGIF2LY,Stim8hr,0,other
TGM1,Rest,0,other
TGM1,Stim48hr,0,other
TGM1,Stim8hr,0,other
TGOLN2,Rest,0,other
TGOLN2,Stim48hr,0,other
TGOLN2,Stim8hr,0,other
TGS1,Rest,0,other
TGS1,Stim8hr,0,other
THADA,Rest,0,other
THADA,Stim48hr,0,other
THADA,Stim8hr,0,other
THAP10,Rest,0,other
THAP10,Stim48hr,0,other
THAP10,Stim8hr,0,other
THAP11,Rest,1,other
THAP11,Stim48hr,1,other
THAP11,Stim8hr,0,other
THAP12,Rest,0,other
THAP12,Stim48hr,1,other
THAP12,Stim8hr,4,other
THAP2,Rest,0,other
THAP2,Stim48hr,0,other
THAP2,Stim8hr,0,other
THAP3,Rest,0,other
THAP3,Stim48hr,0,other
THAP3,Stim8hr,0,other
THAP5,Rest,0,other
THAP5,Stim48hr,0,other
THAP5,Stim8hr,0,other
THAP6,Rest,0,other
THAP6,Stim48hr,0,other
THAP6,Stim8hr,0,other
THAP7,Rest,0,other
THAP7,Stim48hr,0,other
THAP7,Stim8hr,0,other
THAP8,Rest,0,other
THAP8,Stim48hr,0,other
THAP8,Stim8hr,0,other
THAP9,Rest,1,other
THAP9,Stim48hr,0,other
THAP9,Stim8hr,0,other
THBS1,Rest,0,other
THBS1,Stim48hr,0,other
THBS1,Stim8hr,0,other
THBS3,Rest,0,other
THBS3,Stim48hr,0,other
THBS3,Stim8hr,0,other
THBS4,Rest,0,other
THBS4,Stim48hr,0,other
THBS4,Stim8hr,0,other
THEM4,Rest,0,other
THEM4,Stim48hr,0,other
THEM4,Stim8hr,0,other
THEM5,Rest,0,other
THEM5,Stim48hr,0,other
THEM5,Stim8hr,0,other
THEM6,Rest,0,other
THEM6,Stim48hr,0,other
THEM6,Stim8hr,0,other
THEMIS,Rest,0,other
THEMIS,Stim48hr,0,other
THEMIS,Stim8hr,0,other
THEMIS2,Rest,0,other
THEMIS2,Stim48hr,0,other
THEMIS2,Stim8hr,0,other
THG1L,Rest,1,other
THG1L,Stim48hr,0,other
THG1L,Stim8hr,1,other
THNSL1,Rest,0,other
THNSL1,Stim48hr,0,other
THNSL1,Stim8hr,0,other
THOC6,Rest,0,other
THOC6,Stim48hr,0,other
THOC6,Stim8hr,0,other
THOC7,Rest,0,other
THOC7,Stim48hr,0,other
THOC7,Stim8hr,0,other
THOP1,Rest,0,other
THOP1,Stim48hr,0,other
THOP1,Stim8hr,0,other
THRA,Rest,0,in_trials
THRA,Stim48hr,0,in_trials
THRA,Stim8hr,0,in_trials
THRAP3,Rest,2,other
THRAP3,Stim48hr,0,other
THRAP3,Stim8hr,1,other
THRB,Rest,0,in_trials
THRB,Stim48hr,0,in_trials
THRB,Stim8hr,0,in_trials
THTPA,Rest,0,other
THTPA,Stim48hr,0,other
THTPA,Stim8hr,0,other
THUMPD1,Rest,0,other
THUMPD1,Stim48hr,0,other
THUMPD1,Stim8hr,0,other
THUMPD2,Rest,0,other
THUMPD2,Stim48hr,0,other
THUMPD2,Stim8hr,0,other
THUMPD3,Rest,0,other
THUMPD3,Stim48hr,0,other
THUMPD3,Stim8hr,0,other
THY1,Rest,0,other
THY1,Stim48hr,0,other
THY1,Stim8hr,0,other
THYN1,Rest,0,other
THYN1,Stim48hr,0,other
THYN1,Stim8hr,0,other
TIA1,Rest,0,other
TIA1,Stim48hr,0,other
TIA1,Stim8hr,0,other
TIAL1,Rest,1,other
TIAL1,Stim48hr,0,other
TIAL1,Stim8hr,0,other
TIAM1,Rest,0,other
TIAM1,Stim48hr,0,other
TIAM1,Stim8hr,0,other
TICAM1,Rest,0,other
TICAM1,Stim48hr,0,other
TICAM1,Stim8hr,0,other
TIFA,Rest,0,other
TIFA,Stim48hr,0,other
TIFA,Stim8hr,0,other
TIGAR,Rest,0,other
TIGAR,Stim48hr,0,other
TIGAR,Stim8hr,0,other
TIGD1,Rest,0,other
TIGD1,Stim48hr,0,other
TIGD1,Stim8hr,1,other
TIGD2,Rest,0,other
TIGD2,Stim48hr,0,other
TIGD2,Stim8hr,0,other
TIGD3,Rest,0,other
TIGD3,Stim48hr,0,other
TIGD3,Stim8hr,0,other
TIGD4,Rest,0,other
TIGD4,Stim48hr,0,other
TIGD4,Stim8hr,0,other
TIGD5,Rest,0,other
TIGD5,Stim48hr,0,other
TIGD5,Stim8hr,0,other
TIGD6,Rest,0,other
TIGD6,Stim48hr,0,other
TIGD6,Stim8hr,0,other
TIGD7,Rest,0,other
TIGD7,Stim48hr,0,other
TIGD7,Stim8hr,0,other
TIGIT,Rest,0,in_trials
TIGIT,Stim48hr,0,in_trials
TIGIT,Stim8hr,0,in_trials
TIMCC,Rest,0,other
TIMCC,Stim48hr,0,other
TIMCC,Stim8hr,0,other
TIMD4,Rest,0,other
TIMD4,Stim48hr,0,other
TIMD4,Stim8hr,0,other
TIMM10,Rest,3,other
TIMM10,Stim48hr,1,other
TIMM10,Stim8hr,1,other
TIMM10B,Rest,0,other
