gene,pu_score,rank_pctile,rank,drug_status,pu_role,furthest_imm_stage,crossdonor_confidence,crossdonor_correlation_mean,lof.oe_ci.upper,mis.z_score,IEI,gwas_score,gene_burden_score,expected_n_regulators_residuals,zscore_Th1,zscore_Th2,zscore_Th17,zscore_Treg,polar_coef_rank_Rest,polar_coef_rank_Stim8hr,polar_coef_rank_Stim48hr,polar_rank_range,reg_burden_sig_Rest,reg_burden_sig_Stim8hr,reg_burden_sig_Stim48hr,n_sig_regulated_cytokines_Rest,n_sig_regulated_cytokines_Stim8hr,n_sig_regulated_cytokines_Stim48hr,n_sig_regulated_cytokine_receptors_Rest,n_sig_regulated_cytokine_receptors_Stim8hr,n_sig_regulated_cytokine_receptors_Stim48hr,has_cytokine
TSC22D2,0.288024887901086,0.4515947082350528,10696,non-target,unlabeled,,-0.0125286424064206,-0.0125286424064206,0.21,0.167,0,0.400721,0.0,-21.082064164938856,,,-2.8595495165830087,,0.3017982799061767,0.141110545084055,0.0246073298429319,0.2771909500632448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CLCNKA,0.2880222234798937,0.4515434314429289,10697,non-target,unlabeled,,,,0.972,1.18,0,0.035396,0.0,,,,-0.5257581708822678,,,,,,,,,,,,,,,0
ARHGEF15,0.2880105014794912,0.451492154650805,10698,non-target,unlabeled,,,,0.905,1.23,0,0.0,0.0,,,,,,,,,,,,,,,,,,,0
ZNF391,0.2879930379124462,0.4514408778586811,10699,non-target,unlabeled,,,,,1.04,0,0.0,0.0,-7.851610571398783,0.1644594487720704,1.557277502391328,-0.3159880968967068,2.95317022851722,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
VWA1,0.2879851070645544,0.4513896010665573,10700,non-target,unlabeled,,,,1.3,-2.53,0,0.119758,0.0,,1.9398795042599677,-1.14480539166024,4.828226566432419,6.928417870650525,,,,,,,,,,,,,,0
MTARC1,0.2879787442775873,0.4513383242744334,10701,non-target,unlabeled,,,,1.01,0.579,0,0.0,0.0,,0.0563777462782994,0.8690941312159424,0.7242534747251801,-0.6203758050789114,,,,,,,,,,,,,,0
SOX18,0.2879208984225988,0.4512870474823095,10702,non-target,unlabeled,,,,0.693,0.454,0,0.270853,0.0,,0.4935444955035327,-0.9753503412337412,0.7120672763993601,2.6231855789958254,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
N4BP2,0.2878995431321008,0.4512357706901856,10703,non-target,unlabeled,,,,0.709,1.28,0,0.0,0.0,-2.6302082639957973,0.2066330633844059,-1.3017022053101903,-0.8633377834594829,-4.944208469156342,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TMPRSS2,0.2878580698461244,0.4511844938980617,10704,non-target,unlabeled,,,,1.09,-0.426,0,0.312641,0.0,,,,0.8546784973225611,,,,,,,,,,,,,,,0
TBCA,0.2878481276906454,0.4511332171059378,10705,non-target,unlabeled,,0.3800116292462545,0.3800116292462545,0.75,1.53,0,0.057883,0.0,,,,,,0.4399270263226479,0.6339786041772797,0.3960732984293194,0.2379053057479603,,,,2.0,0.0,0.0,2.0,0.0,1.0,1
