model,fpr,tpr
full,0.08586927040954706,0.22558459422283356
full,0.08673718470301058,0.22558459422283356
full,0.08673718470301058,0.22696011004126548
full,0.08684567398969352,0.22696011004126548
full,0.08684567398969352,0.22833562585969738
full,0.08803905614320585,0.22833562585969738
full,0.08803905614320585,0.2297111416781293
full,0.09064279902359643,0.2297111416781293
full,0.09064279902359643,0.2310866574965612
full,0.092324382967182,0.2310866574965612
full,0.092324382967182,0.2324621733149931
full,0.09324654190398698,0.2324621733149931
full,0.09324654190398698,0.23383768913342504
full,0.09427719012747492,0.23383768913342504
full,0.09427719012747492,0.23521320495185694
full,0.09498237049091403,0.23521320495185694
full,0.09498237049091403,0.23658872077028886
full,0.09547057228098725,0.23658872077028886
full,0.09547057228098725,0.23796423658872076
full,0.09823704909140223,0.23796423658872076
full,0.09823704909140223,0.2407152682255846
full,0.0984540276647681,0.2407152682255846
full,0.0984540276647681,0.24209078404401652
full,0.09948467588825603,0.24209078404401652
full,0.09948467588825603,0.24346629986244842
full,0.10062381339842691,0.24346629986244842
full,0.10062381339842691,0.24484181568088034
full,0.10192568483862219,0.24484181568088034
full,0.10192568483862219,0.24621733149931224
full,0.1026308652020613,0.24621733149931224
full,0.1026308652020613,0.24759284731774414
full,0.10295633306211012,0.24759284731774414
full,0.10295633306211012,0.24896836313617607
full,0.10333604556550041,0.24896836313617607
full,0.10333604556550041,0.25034387895460797
full,0.10556007594250068,0.25034387895460797
full,0.10556007594250068,0.2517193947730399
full,0.10745863845945212,0.2517193947730399
full,0.10745863845945212,0.2530949105914718
full,0.10756712774613507,0.2530949105914718
full,0.10756712774613507,0.2544704264099037
full,0.10789259560618389,0.2544704264099037
full,0.10789259560618389,0.2558459422283356
full,0.11017087062652563,0.2558459422283356
full,0.11017087062652563,0.25722145804676755
full,0.1102251152698671,0.25722145804676755
full,0.1102251152698671,0.2585969738651995
full,0.11071331705994034,0.2585969738651995
full,0.11071331705994034,0.25997248968363135
full,0.11114727420667209,0.25997248968363135
full,0.11114727420667209,0.2613480055020633
full,0.1129373474369406,0.2613480055020633
full,0.1129373474369406,0.2627235213204952
full,0.11461893138052617,0.2627235213204952
full,0.11461893138052617,0.2640990371389271
full,0.11510713317059941,0.2640990371389271
full,0.11510713317059941,0.265474552957359
full,0.11521562245728234,0.265474552957359
full,0.11521562245728234,0.2668500687757909
full,0.11733116354759968,0.2668500687757909
full,0.11733116354759968,0.26822558459422285
full,0.11754814212096555,0.26822558459422285
full,0.11754814212096555,0.2696011004126547
full,0.11830756712774614,0.2696011004126547
full,0.11830756712774614,0.27097661623108665
full,0.1189042582045023,0.27097661623108665
full,0.1189042582045023,0.2723521320495186
full,0.12058584214808787,0.2723521320495186
full,0.12058584214808787,0.2737276478679505
full,0.12064008679142935,0.2737276478679505
full,0.12064008679142935,0.2751031636863824
full,0.12112828858150258,0.2751031636863824
full,0.12112828858150258,0.2764786795048143
full,0.12150800108489286,0.2764786795048143
full,0.12150800108489286,0.27785419532324623
full,0.12291836181177108,0.27785419532324623
full,0.12291836181177108,0.2792297111416781
full,0.12313534038513697,0.2792297111416781
full,0.12313534038513697,0.28060522696011003
full,0.12405749932194196,0.28060522696011003
full,0.12405749932194196,0.28198074277854196
full,0.12422023325196636,0.28198074277854196
full,0.12422023325196636,0.2833562585969739
full,0.12432872253864931,0.2833562585969739
full,0.12432872253864931,0.28473177441540576
full,0.12449145646867373,0.28473177441540576
full,0.12449145646867373,0.2861072902338377
full,0.12465419039869813,0.2861072902338377
full,0.12465419039869813,0.2874828060522696
full,0.12535937076213724,0.2874828060522696
full,0.12535937076213724,0.28885832187070154
full,0.12780037971250338,0.28885832187070154
full,0.12780037971250338,0.2902338376891334
full,0.12845131543260102,0.2902338376891334
full,0.12845131543260102,0.29160935350756534
full,0.13007865473284513,0.29160935350756534
full,0.13007865473284513,0.29298486932599727
full,0.13056685652291836,0.29298486932599727
full,0.13056685652291836,0.29436038514442914
full,0.13143477081638189,0.29436038514442914
full,0.13143477081638189,0.29573590096286106
full,0.1336045565500407,0.29573590096286106
full,0.1336045565500407,0.297111416781293
full,0.1339300244100895,0.297111416781293
full,0.1339300244100895,0.2984869325997249
full,0.13512340656360183,0.2984869325997249
full,0.13512340656360183,0.2998624484181568
full,0.13577434228369947,0.2998624484181568
full,0.13577434228369947,0.3012379642365887
full,0.13761866015730947,0.3012379642365887
full,0.13761866015730947,0.30261348005502064
full,0.13816110659072417,0.30261348005502064
full,0.13816110659072417,0.30398899587345257
full,0.1393544887442365,0.30398899587345257
full,0.1393544887442365,0.30536451169188444
full,0.13962571196094387,0.30536451169188444
full,0.13962571196094387,0.30674002751031637
full,0.13978844589096825,0.30674002751031637
full,0.13978844589096825,0.3081155433287483
full,0.1413615405478709,0.3081155433287483
full,0.1413615405478709,0.30949105914718017
full,0.14250067805804176,0.30949105914718017
full,0.14250067805804176,0.3108665749656121
full,0.14288039056143206,0.3108665749656121
full,0.14288039056143206,0.312242090784044
full,0.14412801735828587,0.312242090784044
full,0.14412801735828587,0.31361760660247595
full,0.14467046379170057,0.31361760660247595
full,0.14467046379170057,0.31636863823933975
full,0.14494168700840793,0.31636863823933975
full,0.14494168700840793,0.3177441540577717
full,0.14575535665852998,0.3177441540577717
full,0.14575535665852998,0.31911966987620355
full,0.14635204773528615,0.31911966987620355
full,0.14635204773528615,0.3204951856946355
full,0.1478708977488473,0.3204951856946355
full,0.1478708977488473,0.3218707015130674
full,0.14901003525901818,0.3218707015130674
full,0.14901003525901818,0.32324621733149933
full,0.14955248169243288,0.32324621733149933
full,0.14955248169243288,0.3246217331499312
full,0.14993219419582315,0.3246217331499312
full,0.14993219419582315,0.32599724896836313
full,0.15080010848928668,0.32599724896836313
full,0.15080010848928668,0.32737276478679506
full,0.1512883102793599,0.32737276478679506
full,0.1512883102793599,0.328748280605227
full,0.15470572280987252,0.328748280605227
full,0.15470572280987252,0.33012379642365886
full,0.15584486032004338,0.33012379642365886
full,0.15584486032004338,0.3314993122420908
full,0.15698399783021427,0.3314993122420908
full,0.15698399783021427,0.3342503438789546
full,0.15720097640358013,0.3342503438789546
full,0.15720097640358013,0.3356258596973865
full,0.1574721996202875,0.3356258596973865
full,0.1574721996202875,0.33700137551581844
full,0.15812313534038513,0.33700137551581844
full,0.15812313534038513,0.33837689133425036
full,0.15855709248711689,0.33837689133425036
full,0.15855709248711689,0.33975240715268223
full,0.15975047464062925,0.33975240715268223
full,0.15975047464062925,0.34112792297111416
full,0.15980471928397072,0.34112792297111416
full,0.15980471928397072,0.3425034387895461
full,0.16056414429075128,0.3425034387895461
full,0.16056414429075128,0.343878954607978
full,0.16349335503119067,0.343878954607978
full,0.16349335503119067,0.3452544704264099
full,0.16729048006509356,0.3452544704264099
full,0.16729048006509356,0.3466299862448418
full,0.16756170328180092,0.3466299862448418
full,0.16756170328180092,0.34800550206327374
full,0.16913479793870356,0.34800550206327374
full,0.16913479793870356,0.3493810178817056
full,0.16962299972877679,0.3493810178817056
