gene,group,gwas_score
CD163,other,0.401223
CD163L1,other,0.403029
CD164,other,0.135446
CD180,other,0.144558
CD1A,other,0.438865
CD1B,other,0.404891
CD1D,other,0.038405
CD2,approved,0.837357
CD200,in_trials,0.648857
CD200R1,other,0.668167
CD200R1L,other,0.573186
CD207,other,0.797966
CD226,other,0.889447
CD244,other,0.457494
CD247,other,0.781677
CD27,in_trials,0.04424
CD274,in_trials,0.673276
CD28,in_trials,0.73607
CD300LD,other,0.290695
CD302,other,0.087069
CD37,in_trials,0.261577
CD3E,approved,0.143868
CD40,in_trials,0.961761
CD40LG,in_trials,0.384718
CD44,other,0.730485
CD46,other,0.038779
CD47,in_trials,0.558692
CD48,other,0.03634
CD5,other,0.761136
CD55,other,0.053985
CD58,other,0.869467
CD59,other,0.049861
CD5L,other,0.572483
CD6,in_trials,0.917082
CD63,other,0.043357
CD69,other,0.714803
CD70,in_trials,0.040964
CD80,approved,0.60446
CD81,other,0.06248
CD83,other,0.843766
CD84,other,0.041224
CD86,approved,0.819356
CD96,other,0.041253
