gene,group,mis_z_score
ANKRA2,non-target,1.05
ANKRD1,non-target,0.587
ANKRD10,non-target,0.933
ANKRD11,non-target,-1.21
ANKRD12,non-target,-0.421
ANKRD13A,non-target,1.92
ANKRD13B,non-target,2.91
ANKRD13C,non-target,2.55
ANKRD13D,non-target,1.44
ANKRD16,non-target,-0.2
ANKRD17,non-target,7.57
ANKRD18A,non-target,2.87
ANKRD18B,non-target,2.28
ANKRD2,non-target,0.718
ANKRD20A1,non-target,9.42
ANKRD20A2P,non-target,5.98
ANKRD20A3P,non-target,4.02
ANKRD20A4P,non-target,10.9
ANKRD22,non-target,0.37
ANKRD23,non-target,-0.337
ANKRD24,non-target,-0.838
ANKRD26,non-target,0.481
ANKRD27,non-target,0.502
ANKRD28,non-target,2.43
ANKRD29,non-target,0.459
ANKRD30A,non-target,-1.23
ANKRD30B,non-target,1.9
ANKRD30BL,non-target,1.16
ANKRD31,non-target,1.5
ANKRD33,non-target,0.613
ANKRD33B,non-target,0.767
ANKRD34A,non-target,3.43
ANKRD34B,non-target,0.81
ANKRD34C,non-target,1.5
ANKRD35,non-target,-0.121
ANKRD36,non-target,7.69
ANKRD36B,non-target,6.46
ANKRD36C,non-target,5.54
ANKRD37,non-target,-0.513
ANKRD39,non-target,0.207
ANKRD40,non-target,1.53
ANKRD40CL,non-target,-0.771
ANKRD42,non-target,0.362
ANKRD44,non-target,2.77
ANKRD45,non-target,1.16
ANKRD46,non-target,2.31
ANKRD49,non-target,1.62
ANKRD50,non-target,2.22
ANKRD52,non-target,6.47
ANKRD53,non-target,0.619
ANKRD54,non-target,0.834
ANKRD55,non-target,0.549
ANKRD6,non-target,0.787
ANKRD60,non-target,-0.461
ANKRD61,non-target,0.137
ANKRD62,non-target,1.94
ANKRD63,non-target,0.855
ANKRD65,non-target,-1.44
ANKRD66,non-target,-0.248
ANKRD7,non-target,0.786
ANKRD9,non-target,-0.345
ANKS1A,non-target,3.96
ANKS1B,non-target,4.19
ANKS3,non-target,-3.82
ANKS4B,non-target,0.414
ANKS6,non-target,0.113
ANKUB1,non-target,0.488
ANKZF1,non-target,0.358
ANLN,non-target,1.84
ANO1,non-target,3.15
ANO10,non-target,0.873
ANO2,non-target,-0.221
ANO3,non-target,3.66
ANO4,non-target,3.36
ANO5,non-target,0.189
ANO6,non-target,2.12
ANO7,non-target,-1.24
ANO8,non-target,2.16
ANO9,non-target,0.113
ANOS1,non-target,2.0
ANP32A,non-target,3.68
ANP32B,non-target,2.14
ANP32D,non-target,-0.605
ANP32E,non-target,2.6
ANPEP,in-trial,0.907
ANTKMT,non-target,-2.17
ANTXR1,non-target,3.19
ANTXR2,non-target,-0.202
ANTXRL,non-target,-0.115
ANXA1,non-target,-0.484
ANXA10,non-target,0.0297
ANXA11,non-target,-0.0712
ANXA13,non-target,-0.439
ANXA2,non-target,0.636
ANXA2R,non-target,-0.0686
ANXA3,non-target,-0.0962
ANXA4,non-target,1.05
ANXA5,non-target,0.435
ANXA6,non-target,0.669
ANXA7,non-target,0.604
ANXA8,non-target,4.29
ANXA8L1,non-target,3.79
ANXA9,non-target,1.32
AOAH,non-target,0.625
AOC1,non-target,1.19
AOC2,non-target,-0.701
AOC3,non-target,1.9
AOPEP,in-trial,0.00893
AOX1,non-target,0.0829
AP1AR,non-target,-0.0153
AP1B1,non-target,4.19
AP1G1,non-target,3.42
AP1G2,non-target,0.522
AP1M1,non-target,4.05
AP1M2,non-target,0.976
AP1S1,non-target,2.38
AP1S2,non-target,3.45
AP1S3,non-target,0.937
AP2A1,non-target,5.13
AP2A2,non-target,4.19
AP2B1,non-target,7.73
AP2M1,non-target,7.12
AP2S1,non-target,3.95
AP3B1,non-target,2.01
AP3B2,non-target,2.82
AP3D1,non-target,2.15
AP3M1,non-target,1.78
AP3M2,non-target,1.76
AP3S1,non-target,3.1
AP3S2,non-target,-0.113
AP4B1,non-target,-0.0865
AP4E1,non-target,-0.193
AP4M1,non-target,-0.716
AP4S1,non-target,0.219
AP5B1,non-target,-2.1
AP5M1,non-target,0.758
AP5S1,non-target,-0.509
AP5Z1,non-target,-6.07
APAF1,non-target,2.1
APBA1,non-target,1.15
APBA2,non-target,2.88
APBA3,non-target,-0.665
APBB1,non-target,2.56
APBB1IP,non-target,0.492
APBB2,non-target,2.74
APBB3,non-target,1.48
APC,non-target,-0.289
APC2,non-target,-2.38
APCDD1,non-target,0.795
APCDD1L,non-target,0.123
APCS,in-trial,-1.14
APEH,non-target,1.09
APEX1,non-target,-0.995
APEX2,non-target,1.57
APH1A,in-trial,2.15
APH1B,in-trial,0.206
API5,non-target,4.84
APIP,non-target,1.27
APLF,non-target,-0.148
APLN,non-target,-0.51
APLNR,non-target,0.695
APLP1,non-target,1.05
APLP2,non-target,0.0392
APMAP,non-target,0.784
APOA1,non-target,-0.0721
APOA2,non-target,1.04
APOA4,non-target,-0.728
APOA5,non-target,0.733
APOB,non-target,-0.462
APOBEC1,non-target,0.903
APOBEC2,non-target,-0.691
APOBEC3A,non-target,2.25
APOBEC3B,non-target,2.86
APOBEC3C,non-target,-0.0578
APOBEC3D,non-target,-0.0133
APOBEC3F,non-target,0.295
APOBEC3G,non-target,0.442
APOBEC3H,non-target,-0.0258
APOBEC4,non-target,1.34
APOBR,non-target,-0.472
APOC1,non-target,-0.969
APOC2,non-target,0.299
APOC3,non-target,0.073
APOC4,non-target,-0.132
APOC4-APOC2,non-target,0.175
APOD,non-target,0.186
APOE,non-target,-0.226
APOF,non-target,0.405
APOH,non-target,0.128
APOL1,non-target,-0.717
APOL2,non-target,-1.17
APOL3,non-target,0.175
APOL4,non-target,-0.184
APOL5,non-target,0.304
APOL6,non-target,-0.18
APOLD1,non-target,-0.918
APOM,non-target,0.927
APOO,non-target,-0.616
APOOL,non-target,-0.374
APP,non-target,2.22
APPBP2,non-target,4.66
APPL1,non-target,1.3
APPL2,non-target,1.31
APRT,non-target,-1.72
APTX,non-target,-0.124
AQP1,non-target,1.1
AQP10,non-target,2.44
AQP11,non-target,0.0324
AQP12A,non-target,1.53
AQP12B,non-target,1.78
AQP2,non-target,0.858
AQP3,non-target,2.45
AQP4,non-target,-0.0799
AQP5,non-target,0.0466
AQP6,non-target,1.07
AQP7,non-target,0.907
AQP8,non-target,0.913
AQP9,non-target,-1.14
AQR,non-target,5.2
AR,approved,1.62
ARAF,in-trial,2.82
ARAP1,non-target,2.8
ARAP2,non-target,-1.32
ARAP3,non-target,2.41
ARC,non-target,1.84
ARCN1,non-target,2.77
AREG,non-target,0.535
AREL1,non-target,1.98
ARF1,non-target,4.73
ARF3,non-target,4.38
ARF4,non-target,3.1
ARF5,non-target,2.87
ARF6,non-target,4.4
ARFGAP1,non-target,0.199
ARFGAP2,non-target,0.671
ARFGAP3,non-target,0.113
ARFGEF1,non-target,7.72
ARFGEF2,non-target,4.3
ARFGEF3,non-target,3.07
ARFIP1,non-target,1.64
ARFIP2,non-target,2.44
ARFRP1,non-target,0.586
ARG1,non-target,0.233
ARG2,non-target,0.996
ARGFX,non-target,1.0
ARGLU1,non-target,3.34
ARHGAP1,non-target,1.46
ARHGAP10,non-target,0.214
ARHGAP11A,non-target,1.58
ARHGAP11A-SCG5,non-target,3.06
ARHGAP11B,non-target,1.79
ARHGAP12,non-target,0.887
ARHGAP15,non-target,0.0835
ARHGAP17,non-target,1.56
ARHGAP18,non-target,1.37
ARHGAP19,non-target,0.614
ARHGAP19-SLIT1,non-target,0.561
ARHGAP20,non-target,1.21
ARHGAP21,non-target,4.81
ARHGAP22,non-target,-0.776
ARHGAP23,non-target,3.05
ARHGAP24,non-target,-0.223
ARHGAP25,non-target,1.49
ARHGAP26,non-target,3.38
ARHGAP27,non-target,1.68
ARHGAP28,non-target,0.453
ARHGAP29,non-target,1.93
ARHGAP30,non-target,0.739
ARHGAP31,non-target,2.22
ARHGAP32,non-target,3.64
ARHGAP33,non-target,2.53
ARHGAP35,non-target,6.02
ARHGAP36,non-target,1.2
