gene,condition,n_sig,group
GNAO1,Stim48hr,0,non-target
GNAO1,Stim8hr,0,non-target
GNAQ,Rest,0,non-target
GNAQ,Stim48hr,0,non-target
GNAQ,Stim8hr,0,non-target
GNAS,Rest,0,non-target
GNAS,Stim48hr,5,non-target
GNAS,Stim8hr,0,non-target
GNAZ,Rest,0,non-target
GNAZ,Stim48hr,0,non-target
GNAZ,Stim8hr,0,non-target
GNB1,Rest,0,non-target
GNB1,Stim48hr,0,non-target
GNB1,Stim8hr,0,non-target
GNB1L,Rest,0,non-target
GNB1L,Stim48hr,0,non-target
GNB1L,Stim8hr,0,non-target
GNB2,Rest,0,non-target
GNB2,Stim48hr,0,non-target
GNB2,Stim8hr,0,non-target
GNB4,Rest,0,non-target
GNB4,Stim48hr,0,non-target
GNB4,Stim8hr,0,non-target
GNB5,Rest,0,non-target
GNB5,Stim48hr,0,non-target
GNB5,Stim8hr,0,non-target
GNE,Rest,0,non-target
GNE,Stim48hr,0,non-target
GNE,Stim8hr,0,non-target
GNG10,Rest,0,non-target
GNG10,Stim48hr,0,non-target
GNG10,Stim8hr,0,non-target
GNG11,Rest,0,non-target
GNG11,Stim48hr,0,non-target
GNG11,Stim8hr,0,non-target
GNG2,Rest,1,non-target
GNG2,Stim48hr,0,non-target
GNG2,Stim8hr,1,non-target
GNG4,Rest,0,non-target
GNG4,Stim48hr,0,non-target
GNG4,Stim8hr,0,non-target
GNG5,Rest,0,non-target
GNG5,Stim48hr,0,non-target
GNG5,Stim8hr,0,non-target
GNG7,Rest,0,non-target
GNG7,Stim48hr,0,non-target
GNG7,Stim8hr,0,non-target
GNG8,Rest,0,non-target
GNG8,Stim48hr,0,non-target
GNG8,Stim8hr,0,non-target
GNGT2,Rest,0,non-target
GNGT2,Stim48hr,0,non-target
GNGT2,Stim8hr,0,non-target
GNL1,Rest,0,non-target
GNL1,Stim48hr,0,non-target
GNL1,Stim8hr,0,non-target
GNLY,Rest,0,non-target
GNLY,Stim48hr,0,non-target
GNLY,Stim8hr,0,non-target
GNMT,Rest,0,non-target
GNMT,Stim48hr,1,non-target
GNMT,Stim8hr,0,non-target
GNPAT,Rest,0,non-target
GNPAT,Stim48hr,0,non-target
