perm,genetic,genetic+observational,genetic+perturbational,full
301,0.5219689848274541,0.5103571371591762,0.5087908868999186,0.5067970452623687
302,0.4528891335215942,0.4547334035322836,0.45549112142822956,0.45086588809649164
303,0.508430495062142,0.5035300658912873,0.5219056462291995,0.5087321590963481
304,0.5050321957912538,0.5021502576620559,0.506585714513633,0.5010719060610411
305,0.541862059062844,0.5378870754160086,0.5353303339236427,0.5329455000877487
306,0.5024494009157773,0.4987447789530785,0.506144817243415,0.5015397820641682
307,0.4777816493562437,0.5026581151581869,0.4904132005935002,0.5119786052744939
308,0.515894111265336,0.5166354919510523,0.5136588490563028,0.5080388806458304
309,0.5058004594840377,0.49727829097464865,0.501082100863128,0.49879015300180285
310,0.5321306976818393,0.5304678600488202,0.5440464429872844,0.543568675313901
311,0.49532465419039867,0.4805477113546802,0.48549855613522874,0.4703263613012333
312,0.463938958821934,0.4706436605561671,0.49215123087477464,0.4932669315081607
