gene,group,mis_z_score
ANKS3,other,-3.82
ANKS4B,other,0.414
ANKS6,other,0.113
ANKUB1,other,0.488
ANKZF1,other,0.358
ANLN,other,1.84
ANO1,other,3.15
ANO10,other,0.873
ANO2,other,-0.221
ANO3,other,3.66
ANO4,other,3.36
ANO5,other,0.189
ANO6,other,2.12
ANO7,other,-1.24
ANO8,other,2.16
ANO9,other,0.113
ANOS1,other,2.0
ANP32A,other,3.68
ANP32B,other,2.14
ANP32D,other,-0.605
ANP32E,other,2.6
ANPEP,in_trials,0.907
ANTKMT,other,-2.17
ANTXR1,other,3.19
ANTXR2,other,-0.202
ANTXRL,other,-0.115
ANXA1,other,-0.484
ANXA10,other,0.0297
ANXA11,other,-0.0712
ANXA13,other,-0.439
ANXA2,other,0.636
ANXA2R,other,-0.0686
ANXA3,other,-0.0962
ANXA4,other,1.05
ANXA5,other,0.435
ANXA6,other,0.669
ANXA7,other,0.604
ANXA8,other,4.29
ANXA8L1,other,3.79
ANXA9,other,1.32
AOAH,other,0.625
AOC1,other,1.19
AOC2,other,-0.701
AOC3,other,1.9
AOPEP,in_trials,0.00893
AOX1,other,0.0829
AP1AR,other,-0.0153
AP1B1,other,4.19
AP1G1,other,3.42
AP1G2,other,0.522
AP1M1,other,4.05
AP1M2,other,0.976
AP1S1,other,2.38
AP1S2,other,3.45
AP1S3,other,0.937
AP2A1,other,5.13
AP2A2,other,4.19
AP2B1,other,7.73
AP2M1,other,7.12
AP2S1,other,3.95
AP3B1,other,2.01
AP3B2,other,2.82
AP3D1,other,2.15
AP3M1,other,1.78
AP3M2,other,1.76
AP3S1,other,3.1
AP3S2,other,-0.113
AP4B1,other,-0.0865
AP4E1,other,-0.193
AP4M1,other,-0.716
AP4S1,other,0.219
AP5B1,other,-2.1
AP5M1,other,0.758
AP5S1,other,-0.509
AP5Z1,other,-6.07
APAF1,other,2.1
APBA1,other,1.15
APBA2,other,2.88
APBA3,other,-0.665
APBB1,other,2.56
APBB1IP,other,0.492
APBB2,other,2.74
APBB3,other,1.48
APC,other,-0.289
APC2,other,-2.38
APCDD1,other,0.795
APCDD1L,other,0.123
APCS,in_trials,-1.14
APEH,other,1.09
APEX1,other,-0.995
APEX2,other,1.57
APH1A,in_trials,2.15
APH1B,in_trials,0.206
API5,other,4.84
APIP,other,1.27
APLF,other,-0.148
APLN,other,-0.51
APLNR,other,0.695
APLP1,other,1.05
APLP2,other,0.0392
APMAP,other,0.784
APOA1,other,-0.0721
APOA2,other,1.04
APOA4,other,-0.728
APOA5,other,0.733
APOB,other,-0.462
APOBEC1,other,0.903
APOBEC2,other,-0.691
APOBEC3A,other,2.25
APOBEC3B,other,2.86
APOBEC3C,other,-0.0578
APOBEC3D,other,-0.0133
APOBEC3F,other,0.295
APOBEC3G,other,0.442
APOBEC3H,other,-0.0258
APOBEC4,other,1.34
APOBR,other,-0.472
APOC1,other,-0.969
APOC2,other,0.299
APOC3,other,0.073
APOC4,other,-0.132
APOC4-APOC2,other,0.175
APOD,other,0.186
APOE,other,-0.226
APOF,other,0.405
APOH,other,0.128
APOL1,other,-0.717
APOL2,other,-1.17
APOL3,other,0.175
APOL4,other,-0.184
APOL5,other,0.304
APOL6,other,-0.18
APOLD1,other,-0.918
APOM,other,0.927
APOO,other,-0.616
APOOL,other,-0.374
APP,other,2.22
APPBP2,other,4.66
APPL1,other,1.3
APPL2,other,1.31
APRT,other,-1.72
APTX,other,-0.124
AQP1,other,1.1
AQP10,other,2.44
AQP11,other,0.0324
AQP12A,other,1.53
AQP12B,other,1.78
AQP2,other,0.858
AQP3,other,2.45
AQP4,other,-0.0799
AQP5,other,0.0466
AQP6,other,1.07
AQP7,other,0.907
AQP8,other,0.913
AQP9,other,-1.14
AQR,other,5.2
AR,approved,1.62
ARAF,in_trials,2.82
ARAP1,other,2.8
ARAP2,other,-1.32
ARAP3,other,2.41
ARC,other,1.84
ARCN1,other,2.77
AREG,other,0.535
AREL1,other,1.98
ARF1,other,4.73
ARF3,other,4.38
ARF4,other,3.1
ARF5,other,2.87
ARF6,other,4.4
ARFGAP1,other,0.199
ARFGAP2,other,0.671
ARFGAP3,other,0.113
ARFGEF1,other,7.72
ARFGEF2,other,4.3
ARFGEF3,other,3.07
ARFIP1,other,1.64
ARFIP2,other,2.44
ARFRP1,other,0.586
ARG1,other,0.233
ARG2,other,0.996
ARGFX,other,1.0
ARGLU1,other,3.34
ARHGAP1,other,1.46
ARHGAP10,other,0.214
ARHGAP11A,other,1.58
ARHGAP11A-SCG5,other,3.06
ARHGAP11B,other,1.79
ARHGAP12,other,0.887
ARHGAP15,other,0.0835
ARHGAP17,other,1.56
ARHGAP18,other,1.37
ARHGAP19,other,0.614
ARHGAP19-SLIT1,other,0.561
ARHGAP20,other,1.21
ARHGAP21,other,4.81
ARHGAP22,other,-0.776
ARHGAP23,other,3.05
ARHGAP24,other,-0.223
ARHGAP25,other,1.49
ARHGAP26,other,3.38
ARHGAP27,other,1.68
ARHGAP28,other,0.453
ARHGAP29,other,1.93
ARHGAP30,other,0.739
ARHGAP31,other,2.22
ARHGAP32,other,3.64
ARHGAP33,other,2.53
ARHGAP35,other,6.02
ARHGAP36,other,1.2
ARHGAP39,other,0.873
ARHGAP4,other,0.738
ARHGAP40,other,1.86
ARHGAP42,other,3.44
ARHGAP44,other,2.43
ARHGAP45,other,-0.224
ARHGAP5,other,3.74
ARHGAP6,other,1.66
ARHGAP8,other,-6.34
ARHGAP9,other,0.269
ARHGDIA,other,0.664
ARHGDIB,other,-0.234
ARHGDIG,other,-0.226
ARHGEF1,other,3.5
ARHGEF10,other,-4.78
ARHGEF10L,other,2.58
ARHGEF11,other,2.69
ARHGEF12,other,4.35
ARHGEF15,other,1.23
ARHGEF16,other,0.524
ARHGEF17,other,-0.37
ARHGEF18,other,2.23
ARHGEF19,other,-0.0293
ARHGEF2,other,5.01
ARHGEF25,other,1.27
ARHGEF26,other,-1.92
ARHGEF28,other,0.423
ARHGEF3,other,2.1
