gene,core,pctile_genetics,pctile_full,rank_shift,cov_class,gen_dec
ADAMTS19,none,0.4587221823402728,0.39308788842170034,-0.06563429391857245,none,4
ADAMTS2,none,0.8506819813352476,0.865654804635422,0.014972823300174354,none,8
ADAMTS20,none,0.04281612142344375,0.12311557788944724,0.08029945646600349,obs,0
ADAMTS3,none,0.6457286432160804,0.6897754076504974,0.04404676443441702,obs,6
ADAMTS4,none,0.5725566608552969,0.6168598092503333,0.04430314839503646,obs,5
ADAMTS5,none,0.30950671725976825,0.30535329709773357,-0.004153420162034682,none,3
ADAMTS6,none,0.928827812532048,0.7942262332068506,-0.13460157932519745,both,9
ADAMTS7,none,0.8449902574094965,0.8374525689672854,-0.007537688442211143,obs,8
ADAMTS8,none,0.29463644754384166,0.2810993744231361,-0.013537073120705567,none,2
ADAMTS9,none,0.6349092400779407,0.6971079889242129,0.06219874884627219,obs,6
ADAMTSL1,none,0.30499435955286636,0.4051892113629371,0.10019485181007076,none,3
ADAMTSL2,none,0.7704338016613681,0.7567941749564148,-0.013639626704953334,obs,7
ADAMTSL3,none,0.6375243564762588,0.6609065736847503,0.02338221720849143,none,6
ADAMTSL4,none,0.3113526817762281,0.3891908522202851,0.077838170444057,obs,3
ADAMTSL5,none,0.048764229309814375,0.07163367859706697,0.022869449287252597,both,0
ADAP1,none,0.5802994564660034,0.7260793764742077,0.14577992000820428,both,5
ADAP2,none,0.43051994667213617,0.5917854579017536,0.16126551122961746,obs,4
ADAR,none,0.9864116500871706,0.8561173213003794,-0.13029432878679115,cau,9
ADARB1,none,0.9009332376166547,0.9870782483847811,0.08614501076812642,both,9
ADARB2,none,0.6667008511947493,0.7733565788124295,0.10665572761768016,both,6
ADAT1,none,0.08050456363449902,0.03712439749769254,-0.04338016613680648,cau,0
ADAT2,none,0.09440057430007179,0.34975899907701774,0.2553584247769459,both,0
ADAT3,none,0.34499025740949646,0.18346836221925955,-0.1615218951902369,cau,3
ADCK1,none,0.2528971387549995,0.1658291457286432,-0.08706799302635626,cau,2
ADCK2,none,0.5932724848733463,0.4069326222951492,-0.18633986257819707,cau,5
ADCK5,none,0.33888831914675416,0.09455440467644344,-0.24433391447031072,cau,3
ADCY1,none,0.9222643831401908,0.9891805968618603,0.06691621372166956,both,9
ADCY10,none,0.6653676545995283,0.6259870782483847,-0.03938057635114356,none,6
ADCY2,none,0.9878474002666393,0.9774894882576146,-0.010357912009024695,none,9
ADCY3,none,0.9425699928212491,0.9350323043790381,-0.007537688442211032,both,9
ADCY4,none,0.6052199774382114,0.5068198133524767,-0.09840016408573471,both,6
ADCY5,none,0.9467234129832838,0.9556455748128397,0.008922161829555963,none,9
ADCY6,none,0.8695005640447133,0.9311865449697467,0.06168598092503341,obs,8
ADCY7,none,0.989744641575223,0.9471336273202748,-0.042611014254948176,both,9
ADCY8,none,0.8465798379653369,0.8662188493487848,0.019639011383447924,none,8
ADCY9,none,0.78022766895703,0.8069941544456979,0.02676648548866789,both,7
ADCYAP1,none,0.20203056096810584,0.2759716952107476,0.07394113424264176,obs,2
ADCYAP1R1,none,0.673469387755102,0.6390626602399754,-0.034406727515126634,none,6
ADD1,none,0.5270228694492872,0.20654291867500768,-0.32047995077427954,both,5
