symbol	status	alias_symbol	prev_symbol
ACTN4	Approved		FSGS1
ACTN4-AS1	Approved		
ACTN4P1	Approved		
ACTN4P2	Approved		
ACTP1	Approved		
ACTR1A	Approved	ARP1|Arp1A	
ACTR1AP1	Approved		
ACTR1B	Approved	Arp1B	CTRN2
ACTR2	Approved	ARP2	
ACTR2P1	Approved		
ACTR2P2	Approved		
ACTR3	Approved	ARP3	
ACTR3-AS1	Approved	AC104653.1	
ACTR3B	Approved	ARP11|ARP3beta	
ACTR3BP1	Approved		
ACTR3BP2	Approved	FKSG73	
ACTR3BP3	Approved		
ACTR3BP4	Approved		
ACTR3BP5	Approved		
ACTR3BP6	Approved		
ACTR3BP7	Approved		
ACTR3C	Approved	ARP11	
ACTR3P1	Approved		
ACTR3P2	Approved		
ACTR3P3	Approved		
ACTR5	Approved	FLJ12785|Arp5|INO80M	
ACTR6	Approved	ARP6|FLJ13433	
ACTR6P1	Approved		
ACTR8	Approved	INO80N|ARP8	
ACTR10	Approved	HARP11|ACTR11|Arp11|Arp10	
ACTRT1	Approved	AIP1|KIAA0705|ARIP1|Arp-T1	
ACTRT1P1	Approved		
ACTRT2	Approved	Arp-T2|ARPM2|FLJ25424	
ACTRT3	Approved	ARPM1	
ACVR1	Approved	SKR1|ALK2|ACVR1A	ACVRLK2
ACVR1B	Approved	ALK4|SKR2|ActRIB	ACVRLK4
ACVR1C	Approved	ALK7|ACVRLK7	
ACVR2A	Approved	ACTRII	ACVR2
ACVR2B	Approved	ActR-IIB	
ACVR2B-AS1	Approved		
ACVRL1	Approved	HHT2|ALK1|HHT	ACVRLK1|ORW2
ACY1	Approved		
ACY3	Approved	HCBP1|MGC9740|ACY-3|ASPA2	
ACYP1	Approved		
ACYP2	Approved		
ADA	Approved	ADA1	
ADA2	Approved	ADGF	IDGFL|CECR1
ADAD1	Approved	Tenr	
ADAD1-AS1	Approved		
ADAD1P1	Approved		
ADAD1P2	Approved		
ADAD2	Approved	TENRL|FLJ00337	
ADAD2-AS1	Approved		
ADAM1A	Approved	ADAM1AP|FTNAP|PH-30a|Ftna|ADAM1P	ADAM1
ADAM1B	Approved	ADAM1BP	
ADAM2	Approved	PH-30b|PH30|CT15	FTNB
ADAM3A	Approved	ADAM3AP|ADAM3|tMDCI	CYRN1
ADAM3B	Approved		CYRN2
ADAM5	Approved	tMDCII	ADAM5P
ADAM6	Approved	ADAM6P|tMDCIV	C14orf96
ADAM7	Approved	GP-83|EAPI	
ADAM7-AS1	Approved		
ADAM7-AS2	Approved		
ADAM8	Approved	CD156|MS2|CD156A	
ADAM9	Approved	MDC9|KIAA0021|MCMP|Mltng	CORD9
ADAM10	Approved	kuz|MADM|HsT18717|CD156C	
ADAM11	Approved		MDC
ADAM12	Approved	MCMPMltna|MLTN	
ADAM15	Approved	MDC15	
ADAM17	Approved	cSVP|CD156B	TACE
ADAM18	Approved	tMDCIII|ADAM27	
ADAM19	Approved	MLTNB	
ADAM20	Approved		
ADAM20P1	Approved		C14orf55
ADAM20P2	Approved		
ADAM20P3	Approved		
ADAM21	Approved	ADAM31	
ADAM21P1	Approved		ADAM21P
ADAM22	Approved	MDC2	
ADAM23	Approved	MDC3	
ADAM24P	Approved		
ADAM28	Approved	eMDCII|MDC-Lm|MDC-Ls|ADAM23	
ADAM29	Approved	svph1|CT73	
ADAM30	Approved	svph4	
ADAM32	Approved		
ADAM33	Approved	DKFZp434K0521|dJ964F7.1	C20orf153
ADAMDEC1	Approved	M12.219	
ADAMTS1	Approved	C3-C5|METH1|KIAA1346	
ADAMTS2	Approved	ADAMTS-3|hPCPNI|PCINP|ADAM-TS2|NPI	
ADAMTS3	Approved	KIAA0366|ADAMTS-4	
ADAMTS3-AS1	Approved		
ADAMTS3-AS2	Approved		
ADAMTS3-AS3	Approved		
ADAMTS4	Approved	KIAA0688|ADAMTS-2|ADMP-1	
ADAMTS5	Approved	ADMP-2|ADAMTS11	
ADAMTS6	Approved	ADAM-TS6	
ADAMTS6-DT	Approved		
ADAMTS7	Approved	ADAM-TS7|DKFZp434H204	
ADAMTS7P1	Approved		ADAMTS7P2
ADAMTS7P3	Approved		
ADAMTS7P4	Approved		
ADAMTS7P5	Approved		
ADAMTS8	Approved	METH2|FLJ41712|ADAM-TS8	
ADAMTS9	Approved	KIAA1312	
ADAMTS9-AS1	Approved		
ADAMTS9-AS2	Approved		
ADAMTS10	Approved	ADAM-TS10	
ADAMTS10-AS1	Approved		
ADAMTS12	Approved		
ADAMTS13	Approved	VWFCP|TTP|vWF-CP|FLJ42993|MGC118899|MGC118900|DKFZp434C2322	C9orf8
ADAMTS14	Approved		
ADAMTS15	Approved		
ADAMTS16	Approved	ADAMTS16s	
ADAMTS16-AS1	Approved	AC022424.2	
ADAMTS16-DT	Approved		
ADAMTS17	Approved	FLJ32769|FLJ16363	
ADAMTS17-AS1	Approved		
ADAMTS18	Approved		ADAMTS21
ADAMTS19	Approved		
ADAMTS19-AS1	Approved	RP11-346A9.1	
ADAMTS20	Approved	GON-1	
ADAMTSL1	Approved	ADAMTSR1|FLJ35283	C9orf94
ADAMTSL2	Approved	KIAA0605	
ADAMTSL3	Approved	KIAA1233|punctin-2	
ADAMTSL4	Approved	DKFZP434K1772	TSRC1
ADAMTSL4-AS1	Approved	FLJ45786	C1orf138
ADAMTSL4-AS2	Approved		
ADAMTSL5	Approved		THSD6
ADAP1	Approved	GCS1L	CENTA1
ADAP2	Approved		CENTA2
ADAR	Approved	ADAR1|DRADA	IFI4|G1P1
ADARB1	Approved	ADAR2|DRADA2|ADAR2g|DRABA2|RED1|hRED1|ADAR2a-L1|ADAR2a-L2|ADAR2a-L3|ADAR2a|ADAR2b|ADAR2c|ADAR2d	
